STATION,ANTENNA-TYPE,ANTENNA-ID,ETRS-X,ETRS-Y,ETRS-Z,RCU-X,RCU-Y
CS001,LBA,0,3826923.942,460915.117,5064643.229,0,1
CS001,LBA,1,3826921.923,460914.874,5064644.767,2,3
CS001,LBA,2,3826922.604,460917.222,5064644.043,4,5
CS001,LBA,3,3826924.742,460917.480,5064642.415,6,7
CS001,LBA,4,3826925.961,460915.360,5064641.691,8,9
CS001,LBA,5,3826925.280,460913.012,5064642.415,10,11
CS001,LBA,6,3826923.142,460912.754,5064644.043,12,13
CS001,LBA,7,3826923.732,460920.901,5064642.864,14,15
CS001,LBA,8,3826926.764,460919.515,5064640.713,16,17
CS001,LBA,9,3826928.476,460916.071,5064639.740,18,19
CS001,LBA,10,3826928.066,460912.180,5064640.399,20,21
CS001,LBA,11,3826925.726,460909.663,5064642.383,22,23
CS001,LBA,12,3826922.552,460909.699,5064644.762,24,25
CS001,LBA,13,3826920.028,460912.269,5064646.425,26,27
CS001,LBA,14,3826919.336,460916.173,5064646.591,28,29
CS001,LBA,15,3826920.799,460919.581,5064645.185,30,31
CS001,LBA,16,3826919.387,460922.786,5064645.955,32,33
CS001,LBA,17,3826921.777,460924.732,5064643.985,34,35
CS001,LBA,18,3826925.788,460925.017,5064640.948,36,37
CS001,LBA,19,3826930.536,460920.496,5064637.793,38,39
CS001,LBA,20,3826931.725,460917.562,5064637.166,40,41
CS001,LBA,21,3826931.955,460913.279,5064637.380,42,43
CS001,LBA,22,3826930.189,460909.769,5064639.023,44,45
CS001,LBA,23,3826926.470,460906.570,5064642.104,46,47
CS001,LBA,24,3826922.805,460905.422,5064644.959,48,49
CS001,LBA,25,3826919.478,460907.043,5064647.310,50,51
CS001,LBA,26,3826917.718,460910.424,5064648.325,52,53
CS001,LBA,27,3826916.706,460915.156,5064648.657,54,55
CS001,LBA,28,3826917.359,460919.687,5064647.757,56,57
CS001,LBA,29,3826917.849,460927.642,5064646.671,58,59
CS001,LBA,30,3826920.467,460929.430,5064644.544,60,61
CS001,LBA,31,3826922.970,460929.232,5064642.683,62,63
CS001,LBA,32,3826929.037,460926.287,5064638.395,64,65
CS001,LBA,33,3826931.419,460926.467,5064636.591,66,67
CS001,LBA,34,3826933.818,460919.467,5064635.423,68,69
CS001,LBA,35,3826934.446,460914.429,5064635.406,70,71
CS001,LBA,36,3826935.315,460909.190,5064635.228,72,73
CS001,LBA,37,3826933.123,460907.398,5064637.035,74,75
CS001,LBA,38,3826930.316,460904.391,5064639.414,76,77
CS001,LBA,39,3826925.171,460901.956,5064643.496,78,79
CS001,LBA,40,3826922.985,460901.538,5064645.175,80,81
CS001,LBA,41,3826919.010,460903.744,5064647.959,82,83
CS001,LBA,42,3826915.727,460904.626,5064650.344,84,85
CS001,LBA,43,3826912.870,460912.903,5064651.740,86,87
CS001,LBA,44,3826912.826,460916.874,5064651.414,88,89
CS001,LBA,45,3826913.545,460922.213,5064650.392,90,91
CS001,LBA,46,3826916.162,460979.704,5064643.231,92,93
CS001,LBA,47,3826975.462,460921.324,5064603.996,94,95
CS001,LBA,48,3826912.376,460926.522,5064650.879,1,0
CS001,LBA,49,3826912.010,460929.574,5064650.879,3,2
CS001,LBA,50,3826923.241,460935.454,5064641.917,5,4
CS001,LBA,51,3826935.123,460928.379,5064633.638,7,6
CS001,LBA,52,3826937.998,460924.821,5064631.801,9,8
CS001,LBA,53,3826938.579,460912.716,5064632.459,11,10
CS001,LBA,54,3826933.640,460901.330,5064637.196,13,12
CS001,LBA,55,3826929.490,460895.587,5064640.830,15,14
CS001,LBA,56,3826918.138,460899.025,5064649.040,17,16
CS001,LBA,57,3826912.129,460902.660,5064653.222,19,18
CS001,LBA,58,3826909.288,460912.110,5064654.500,21,20
CS001,LBA,59,3826904.059,460917.392,5064657.948,23,22
CS001,LBA,60,3826907.053,460929.605,5064654.596,25,24
